recipe_id,title,recipe_name,user_id,user_name,views,recommendations,scraps,cooking_method,situation,ingredients,category,description,ingredients_detail,servings,difficulty,cooking_time,registered_date,image_url,original_recipe_id,cooking_time_minutes,difficulty_level,popularity_score,category_encoded
206,맛있는 계란 요리 207,맛있는 계란 요리 207,user_58,요리사69,14184,885,849,굽기,간편식,"계란, 양파, 마늘",국/탕,맛있는 계란 요리 207 레시피,계란 300g,2인분,중급,20분,2025-04-22,https://example.com/recipe_1000206.jpg,1000206,20,2,0.36495821197225076,0
207,맛있는 닭고기 요리 208,맛있는 닭고기 요리 208,user_51,요리사51,27655,4492,263,굽기,간편식,"닭고기, 양파, 마늘",일품,맛있는 닭고기 요리 208 레시피,닭고기 300g,4인분,초급,10분,2025-12-15,https://example.com/recipe_1000207.jpg,1000207,10,1,0.5988167116327058,4
208,맛있는 돼지고기 요리 209,맛있는 돼지고기 요리 209,user_26,요리사7,12131,1697,886,굽기,손님접대,"돼지고기, 양파, 마늘",국/탕,맛있는 돼지고기 요리 209 레시피,돼지고기 300g,3인분,고급,60분,2025-11-10,https://example.com/recipe_1000208.jpg,1000208,60,3,0.40054863680558295,0
209,맛있는 돼지고기 요리 210,맛있는 돼지고기 요리 210,user_13,요리사49,12215,4008,553,찌기,간편식,"돼지고기, 양파, 마늘",국/탕,맛있는 돼지고기 요리 210 레시피,돼지고기 300g,2인분,고급,20분,2025-02-24,https://example.com/recipe_1000209.jpg,1000209,20,3,0.4733822558360533,0
210,맛있는 돼지고기 요리 211,맛있는 돼지고기 요리 211,user_66,요리사5,1118,1573,938,굽기,일상,"돼지고기, 양파, 마늘",메인반찬,맛있는 돼지고기 요리 211 레시피,돼지고기 300g,3인분,고급,60분,2025-11-14,https://example.com/recipe_1000210.jpg,1000210,60,3,0.2933515902806354,1
211,맛있는 소고기 요리 212,맛있는 소고기 요리 212,user_31,요리사65,3119,3865,87,볶기,간편식,"소고기, 양파, 마늘",볶음,맛있는 소고기 요리 212 레시피,소고기 300g,3인분,초급,20분,2025-12-03,https://example.com/recipe_1000211.jpg,1000211,20,1,0.28051802562420775,2
212,맛있는 소고기 요리 213,맛있는 소고기 요리 213,user_61,요리사20,45715,666,453,찌기,일상,"소고기, 양파, 마늘",샐러드,맛있는 소고기 요리 213 레시피,소고기 300g,2인분,중급,60분,2025-03-04,https://example.com/recipe_1000212.jpg,1000212,60,2,0.5879561745552047,3
213,맛있는 계란 요리 214,맛있는 계란 요리 214,user_29,요리사55,40929,2428,943,굽기,일상,"계란, 양파, 마늘",메인반찬,맛있는 계란 요리 214 레시피,계란 300g,3인분,중급,30분,2025-09-17,https://example.com/recipe_1000213.jpg,1000213,30,2,0.743897994718805,1
214,맛있는 계란 요리 215,맛있는 계란 요리 215,user_17,요리사35,30705,2184,85,굽기,손님접대,"계란, 양파, 마늘",국/탕,맛있는 계란 요리 215 레시피,계란 300g,3인분,초급,20분,2025-01-21,https://example.com/recipe_1000214.jpg,1000214,20,1,0.4552114495240694,0
215,맛있는 계란 요리 216,맛있는 계란 요리 216,user_48,요리사83,12028,2775,27,볶기,간편식,"계란, 양파, 마늘",일품,맛있는 계란 요리 216 레시피,계란 300g,3인분,중급,10분,2025-12-09,https://example.com/recipe_1000215.jpg,1000215,10,2,0.2922263145145025,4
216,맛있는 돼지고기 요리 217,맛있는 돼지고기 요리 217,user_16,요리사79,3197,1880,175,굽기,손님접대,"돼지고기, 양파, 마늘",메인반찬,맛있는 돼지고기 요리 217 레시피,돼지고기 300g,3인분,고급,30분,2025-09-01,https://example.com/recipe_1000216.jpg,1000216,30,3,0.179815908532024,1
217,맛있는 생선 요리 218,맛있는 생선 요리 218,user_45,요리사27,42890,242,913,찌기,간편식,"생선, 양파, 마늘",볶음,맛있는 생선 요리 218 레시피,생선 300g,4인분,초급,10분,2025-11-29,https://example.com/recipe_1000217.jpg,1000217,10,1,0.626348658380486,2
218,맛있는 생선 요리 219,맛있는 생선 요리 219,user_16,요리사52,11059,2781,135,볶기,일상,"생선, 양파, 마늘",샐러드,맛있는 생선 요리 219 레시피,생선 300g,2인분,고급,60분,2025-06-08,https://example.com/recipe_1000218.jpg,1000218,60,3,0.30451464041557913,3
219,맛있는 계란 요리 220,맛있는 계란 요리 220,user_34,요리사78,24403,3844,694,굽기,일상,"계란, 양파, 마늘",찌개,맛있는 계란 요리 220 레시피,계란 300g,4인분,초급,10분,2025-07-11,https://example.com/recipe_1000219.jpg,1000219,10,1,0.6136919373584016,5
220,맛있는 생선 요리 221,맛있는 생선 요리 221,user_29,요리사97,8034,2425,359,굽기,손님접대,"생선, 양파, 마늘",일품,맛있는 생선 요리 221 레시피,생선 300g,2인분,초급,60분,2025-08-11,https://example.com/recipe_1000220.jpg,1000220,60,1,0.2977391967623346,4
221,맛있는 생선 요리 222,맛있는 생선 요리 222,user_75,요리사14,40081,2353,545,찌기,간편식,"생선, 양파, 마늘",국/탕,맛있는 생선 요리 222 레시피,생선 300g,4인분,고급,30분,2025-02-11,https://example.com/recipe_1000221.jpg,1000221,30,3,0.6512354308585039,0
222,맛있는 계란 요리 223,맛있는 계란 요리 223,user_99,요리사91,17795,306,729,볶기,간편식,"계란, 양파, 마늘",국/탕,맛있는 계란 요리 223 레시피,계란 300g,3인분,고급,10분,2024-12-25,https://example.com/recipe_1000222.jpg,1000222,10,3,0.34231646952396244,0
223,맛있는 닭고기 요리 224,맛있는 닭고기 요리 224,user_73,요리사88,39147,4413,564,굽기,일상,"닭고기, 양파, 마늘",샐러드,맛있는 닭고기 요리 224 레시피,닭고기 300g,3인분,중급,60분,2025-09-16,https://example.com/recipe_1000223.jpg,1000223,60,2,0.7692960579822365,3
224,맛있는 돼지고기 요리 225,맛있는 돼지고기 요리 225,user_39,요리사32,13656,4638,276,굽기,손님접대,"돼지고기, 양파, 마늘",일품,맛있는 돼지고기 요리 225 레시피,돼지고기 300g,2인분,초급,60분,2025-10-24,https://example.com/recipe_1000224.jpg,1000224,60,1,0.4701417014469604,4
225,맛있는 계란 요리 226,맛있는 계란 요리 226,user_50,요리사48,34129,2214,325,굽기,손님접대,"계란, 양파, 마늘",메인반찬,맛있는 계란 요리 226 레시피,계란 300g,3인분,고급,10분,2025-02-25,https://example.com/recipe_1000225.jpg,1000225,10,3,0.5393111431316077,1
226,맛있는 두부 요리 227,맛있는 두부 요리 227,user_47,요리사5,20995,1952,68,찌기,손님접대,"두부, 양파, 마늘",볶음,맛있는 두부 요리 227 레시피,두부 300g,2인분,초급,20분,2025-10-31,https://example.com/recipe_1000226.jpg,1000226,20,1,0.3407550208920883,2
227,맛있는 돼지고기 요리 228,맛있는 돼지고기 요리 228,user_55,요리사39,46735,3114,367,찌기,손님접대,"돼지고기, 양파, 마늘",일품,맛있는 돼지고기 요리 228 레시피,돼지고기 300g,4인분,고급,60분,2025-09-07,https://example.com/recipe_1000227.jpg,1000227,60,3,0.7278224265175084,4
228,맛있는 돼지고기 요리 229,맛있는 돼지고기 요리 229,user_63,요리사66,17012,4593,909,볶기,간편식,"돼지고기, 양파, 마늘",일품,맛있는 돼지고기 요리 229 레시피,돼지고기 300g,4인분,고급,60분,2025-09-24,https://example.com/recipe_1000228.jpg,1000228,60,3,0.6277398424545426,4
229,맛있는 소고기 요리 230,맛있는 소고기 요리 230,user_97,요리사14,4984,1707,279,볶기,일상,"소고기, 양파, 마늘",메인반찬,맛있는 소고기 요리 230 레시피,소고기 300g,3인분,고급,60분,2025-07-06,https://example.com/recipe_1000229.jpg,1000229,60,3,0.20813280721931943,1
230,맛있는 돼지고기 요리 231,맛있는 돼지고기 요리 231,user_76,요리사92,20785,1661,720,찌기,손님접대,"돼지고기, 양파, 마늘",일품,맛있는 돼지고기 요리 231 레시피,돼지고기 300g,3인분,초급,30분,2025-06-04,https://example.com/recipe_1000230.jpg,1000230,30,1,0.4517248371797763,4
231,맛있는 닭고기 요리 232,맛있는 닭고기 요리 232,user_27,요리사38,46709,2147,943,굽기,손님접대,"닭고기, 양파, 마늘",샐러드,맛있는 닭고기 요리 232 레시피,닭고기 300g,4인분,고급,20분,2025-07-03,https://example.com/recipe_1000231.jpg,1000231,20,3,0.7848576534027575,3
232,맛있는 생선 요리 233,맛있는 생선 요리 233,user_10,요리사70,21089,3573,755,굽기,손님접대,"생선, 양파, 마늘",찌개,맛있는 생선 요리 233 레시피,생선 300g,2인분,초급,20분,2025-05-12,https://example.com/recipe_1000232.jpg,1000232,20,1,0.5764928781383268,5
233,맛있는 두부 요리 234,맛있는 두부 요리 234,user_49,요리사26,37324,2776,990,볶기,간편식,"두부, 양파, 마늘",볶음,맛있는 두부 요리 234 레시피,두부 300g,4인분,고급,10분,2025-09-26,https://example.com/recipe_1000233.jpg,1000233,10,3,0.738125142959417,2
234,맛있는 돼지고기 요리 235,맛있는 돼지고기 요리 235,user_82,요리사8,37812,2835,85,찌기,일상,"돼지고기, 양파, 마늘",찌개,맛있는 돼지고기 요리 235 레시피,돼지고기 300g,4인분,중급,30분,2025-07-15,https://example.com/recipe_1000234.jpg,1000234,30,2,0.5653656215425555,5
235,맛있는 계란 요리 236,맛있는 계란 요리 236,user_38,요리사11,32290,2763,999,찌기,손님접대,"계란, 양파, 마늘",볶음,맛있는 계란 요리 236 레시피,계란 300g,2인분,초급,60분,2025-01-06,https://example.com/recipe_1000235.jpg,1000235,60,1,0.6887898233399355,2
236,맛있는 계란 요리 237,맛있는 계란 요리 237,user_10,요리사56,3217,2040,827,찌기,간편식,"계란, 양파, 마늘",일품,맛있는 계란 요리 237 레시피,계란 300g,3인분,고급,60분,2025-01-02,https://example.com/recipe_1000236.jpg,1000236,60,3,0.3201465070856824,4
237,맛있는 소고기 요리 238,맛있는 소고기 요리 238,user_19,요리사7,18919,3389,638,굽기,간편식,"소고기, 양파, 마늘",메인반찬,맛있는 소고기 요리 238 레시피,소고기 300g,3인분,고급,10분,2025-05-10,https://example.com/recipe_1000237.jpg,1000237,10,3,0.5203220742055302,1
238,맛있는 소고기 요리 239,맛있는 소고기 요리 239,user_88,요리사66,16820,73,450,볶기,일상,"소고기, 양파, 마늘",국/탕,맛있는 소고기 요리 239 레시피,소고기 300g,4인분,고급,20분,2025-07-23,https://example.com/recipe_1000238.jpg,1000238,20,3,0.2627272975406233,0
239,맛있는 소고기 요리 240,맛있는 소고기 요리 240,user_74,요리사67,16355,183,468,찌기,일상,"소고기, 양파, 마늘",일품,맛있는 소고기 요리 240 레시피,소고기 300g,4인분,고급,20분,2025-09-02,https://example.com/recipe_1000239.jpg,1000239,20,3,0.26827931960650403,4
240,맛있는 두부 요리 241,맛있는 두부 요리 241,user_47,요리사53,36109,613,896,굽기,간편식,"두부, 양파, 마늘",일품,맛있는 두부 요리 241 레시피,두부 300g,4인분,중급,60분,2025-06-08,https://example.com/recipe_1000240.jpg,1000240,60,2,0.5773721917355805,4
241,맛있는 소고기 요리 242,맛있는 소고기 요리 242,user_97,요리사70,31271,2908,117,찌기,손님접대,"소고기, 양파, 마늘",일품,맛있는 소고기 요리 242 레시피,소고기 300g,3인분,초급,60분,2024-12-27,https://example.com/recipe_1000241.jpg,1000241,60,1,0.5107197809849944,4
242,맛있는 돼지고기 요리 243,맛있는 돼지고기 요리 243,user_13,요리사83,11026,4539,18,굽기,간편식,"돼지고기, 양파, 마늘",메인반찬,맛있는 돼지고기 요리 243 레시피,돼지고기 300g,2인분,중급,10분,2025-03-26,https://example.com/recipe_1000242.jpg,1000242,10,2,0.3862411047539948,1
243,맛있는 돼지고기 요리 244,맛있는 돼지고기 요리 244,user_97,요리사48,6609,3726,145,볶기,간편식,"돼지고기, 양파, 마늘",국/탕,맛있는 돼지고기 요리 244 레시피,돼지고기 300g,2인분,초급,60분,2025-07-08,https://example.com/recipe_1000243.jpg,1000243,60,1,0.3187015072716315,0
244,맛있는 닭고기 요리 245,맛있는 닭고기 요리 245,user_75,요리사37,22761,3404,366,볶기,일상,"닭고기, 양파, 마늘",찌개,맛있는 닭고기 요리 245 레시피,닭고기 300g,2인분,고급,10분,2025-07-02,https://example.com/recipe_1000244.jpg,1000244,10,3,0.5052006869939383,5
245,맛있는 두부 요리 246,맛있는 두부 요리 246,user_53,요리사70,12054,245,493,찌기,간편식,"두부, 양파, 마늘",찌개,맛있는 두부 요리 246 레시피,두부 300g,4인분,중급,30분,2025-06-28,https://example.com/recipe_1000245.jpg,1000245,30,2,0.23397969623786202,5
246,맛있는 닭고기 요리 247,맛있는 닭고기 요리 247,user_63,요리사39,13311,945,586,볶기,손님접대,"닭고기, 양파, 마늘",샐러드,맛있는 닭고기 요리 247 레시피,닭고기 300g,2인분,초급,20분,2025-12-06,https://example.com/recipe_1000246.jpg,1000246,20,1,0.3071725901100668,3
247,맛있는 소고기 요리 248,맛있는 소고기 요리 248,user_54,요리사50,41607,415,986,볶기,손님접대,"소고기, 양파, 마늘",국/탕,맛있는 소고기 요리 248 레시피,소고기 300g,2인분,초급,20분,2025-09-13,https://example.com/recipe_1000247.jpg,1000247,20,1,0.6385089093114481,0
248,맛있는 계란 요리 249,맛있는 계란 요리 249,user_14,요리사62,18991,1201,132,볶기,간편식,"계란, 양파, 마늘",찌개,맛있는 계란 요리 249 레시피,계란 300g,2인분,중급,60분,2025-01-10,https://example.com/recipe_1000248.jpg,1000248,60,2,0.2884610177874892,5
249,맛있는 닭고기 요리 250,맛있는 닭고기 요리 250,user_5,요리사80,237,1452,617,볶기,손님접대,"닭고기, 양파, 마늘",국/탕,맛있는 닭고기 요리 250 레시피,닭고기 300g,4인분,초급,20분,2025-01-27,https://example.com/recipe_1000249.jpg,1000249,20,1,0.2130143295975887,0
250,맛있는 돼지고기 요리 251,맛있는 돼지고기 요리 251,user_75,요리사22,28527,584,637,굽기,손님접대,"돼지고기, 양파, 마늘",국/탕,맛있는 돼지고기 요리 251 레시피,돼지고기 300g,3인분,중급,60분,2025-04-09,https://example.com/recipe_1000250.jpg,1000250,60,2,0.4479345523159556,0
251,맛있는 계란 요리 252,맛있는 계란 요리 252,user_31,요리사1,38229,4432,920,볶기,간편식,"계란, 양파, 마늘",볶음,맛있는 계란 요리 252 레시피,계란 300g,4인분,중급,60분,2025-10-15,https://example.com/recipe_1000251.jpg,1000251,60,2,0.8325242069919387,2
252,맛있는 계란 요리 253,맛있는 계란 요리 253,user_25,요리사54,14423,2082,431,볶기,간편식,"계란, 양파, 마늘",샐러드,맛있는 계란 요리 253 레시피,계란 300g,4인분,초급,60분,2025-02-10,https://example.com/recipe_1000252.jpg,1000252,60,1,0.355485341164945,3
253,맛있는 소고기 요리 254,맛있는 소고기 요리 254,user_22,요리사75,38553,447,290,굽기,일상,"소고기, 양파, 마늘",볶음,맛있는 소고기 요리 254 레시피,소고기 300g,4인분,고급,20분,2025-03-04,https://example.com/recipe_1000253.jpg,1000253,20,3,0.4705391828404841,2
254,맛있는 두부 요리 255,맛있는 두부 요리 255,user_83,요리사72,21361,3624,208,찌기,간편식,"두부, 양파, 마늘",찌개,맛있는 두부 요리 255 레시피,두부 300g,4인분,초급,30분,2025-05-05,https://example.com/recipe_1000254.jpg,1000254,30,1,0.4727642937433562,5
255,맛있는 계란 요리 256,맛있는 계란 요리 256,user_24,요리사55,21150,924,388,볶기,손님접대,"계란, 양파, 마늘",볶음,맛있는 계란 요리 256 레시피,계란 300g,4인분,중급,20분,2025-01-03,https://example.com/recipe_1000255.jpg,1000255,20,2,0.34468961213539334,2
256,맛있는 계란 요리 257,맛있는 계란 요리 257,user_78,요리사44,44325,3854,406,볶기,간편식,"계란, 양파, 마늘",찌개,맛있는 계란 요리 257 레시피,계란 300g,2인분,초급,10분,2024-12-22,https://example.com/recipe_1000256.jpg,1000256,10,1,0.7559220375384088,5
257,맛있는 돼지고기 요리 258,맛있는 돼지고기 요리 258,user_49,요리사29,25216,3958,293,볶기,일상,"돼지고기, 양파, 마늘",찌개,맛있는 돼지고기 요리 258 레시피,돼지고기 300g,2인분,초급,10분,2025-01-10,https://example.com/recipe_1000257.jpg,1000257,10,1,0.5483844222182689,5
258,맛있는 소고기 요리 259,맛있는 소고기 요리 259,user_59,요리사88,13437,77,629,굽기,간편식,"소고기, 양파, 마늘",샐러드,맛있는 소고기 요리 259 레시피,소고기 300g,4인분,중급,30분,2025-07-18,https://example.com/recipe_1000258.jpg,1000258,30,2,0.264961627264381,3
259,맛있는 닭고기 요리 260,맛있는 닭고기 요리 260,user_31,요리사16,8183,3627,962,볶기,간편식,"닭고기, 양파, 마늘",샐러드,맛있는 닭고기 요리 260 레시피,닭고기 300g,2인분,초급,30분,2025-08-13,https://example.com/recipe_1000259.jpg,1000259,30,1,0.4920704242553579,3
260,맛있는 생선 요리 261,맛있는 생선 요리 261,user_98,요리사26,751,899,231,찌기,간편식,"생선, 양파, 마늘",찌개,맛있는 생선 요리 261 레시피,생선 300g,2인분,고급,20분,2025-01-07,https://example.com/recipe_1000260.jpg,1000260,20,3,0.10769880051469752,5
261,맛있는 두부 요리 262,맛있는 두부 요리 262,user_17,요리사87,14968,4182,805,찌기,간편식,"두부, 양파, 마늘",샐러드,맛있는 두부 요리 262 레시피,두부 300g,2인분,초급,30분,2025-10-28,https://example.com/recipe_1000261.jpg,1000261,30,1,0.5618120696700541,3
262,맛있는 계란 요리 263,맛있는 계란 요리 263,user_95,요리사62,16790,3610,438,굽기,일상,"계란, 양파, 마늘",볶음,맛있는 계란 요리 263 레시피,계란 300g,4인분,고급,60분,2025-01-16,https://example.com/recipe_1000262.jpg,1000262,60,3,0.47224479310352907,2
263,맛있는 생선 요리 264,맛있는 생선 요리 264,user_50,요리사4,6167,3760,39,볶기,간편식,"생선, 양파, 마늘",메인반찬,맛있는 생선 요리 264 레시피,생선 300g,4인분,중급,60분,2025-12-01,https://example.com/recipe_1000263.jpg,1000263,60,2,0.2950987827392845,1
264,맛있는 돼지고기 요리 265,맛있는 돼지고기 요리 265,user_25,요리사34,16244,1970,451,찌기,일상,"돼지고기, 양파, 마늘",국/탕,맛있는 돼지고기 요리 265 레시피,돼지고기 300g,3인분,중급,20분,2025-03-09,https://example.com/recipe_1000264.jpg,1000264,20,2,0.370985538674741,0
265,맛있는 닭고기 요리 266,맛있는 닭고기 요리 266,user_85,요리사21,18178,2676,72,볶기,일상,"닭고기, 양파, 마늘",볶음,맛있는 닭고기 요리 266 레시피,닭고기 300g,3인분,초급,60분,2025-11-28,https://example.com/recipe_1000265.jpg,1000265,60,1,0.3568162406353295,2
266,맛있는 생선 요리 267,맛있는 생선 요리 267,user_41,요리사21,32691,901,427,볶기,간편식,"생선, 양파, 마늘",볶음,맛있는 생선 요리 267 레시피,생선 300g,2인분,고급,30분,2025-12-20,https://example.com/recipe_1000266.jpg,1000266,30,3,0.46656667268913476,2
267,맛있는 계란 요리 268,맛있는 계란 요리 268,user_35,요리사42,4675,2631,378,굽기,일상,"계란, 양파, 마늘",일품,맛있는 계란 요리 268 레시피,계란 300g,3인분,중급,20분,2025-02-04,https://example.com/recipe_1000267.jpg,1000267,20,2,0.2803015760818138,4
268,맛있는 생선 요리 269,맛있는 생선 요리 269,user_21,요리사79,11946,1768,881,찌기,손님접대,"생선, 양파, 마늘",일품,맛있는 생선 요리 269 레시피,생선 300g,3인분,초급,20분,2025-08-15,https://example.com/recipe_1000268.jpg,1000268,20,1,0.40195700659064926,4
269,맛있는 생선 요리 270,맛있는 생선 요리 270,user_84,요리사9,7314,415,763,굽기,손님접대,"생선, 양파, 마늘",샐러드,맛있는 생선 요리 270 레시피,생선 300g,4인분,초급,10분,2025-02-21,https://example.com/recipe_1000269.jpg,1000269,10,1,0.2508176288106124,3
270,맛있는 생선 요리 271,맛있는 생선 요리 271,user_1,요리사32,20949,4534,178,찌기,손님접대,"생선, 양파, 마늘",볶음,맛있는 생선 요리 271 레시피,생선 300g,4인분,고급,10분,2025-02-22,https://example.com/recipe_1000270.jpg,1000270,10,3,0.5172368864609163,2
271,맛있는 두부 요리 272,맛있는 두부 요리 272,user_7,요리사7,27463,4401,735,굽기,일상,"두부, 양파, 마늘",찌개,맛있는 두부 요리 272 레시피,두부 300g,3인분,중급,60분,2025-03-21,https://example.com/recipe_1000271.jpg,1000271,60,2,0.6859305531051728,5
272,맛있는 돼지고기 요리 273,맛있는 돼지고기 요리 273,user_39,요리사54,34715,616,358,굽기,일상,"돼지고기, 양파, 마늘",일품,맛있는 돼지고기 요리 273 레시피,돼지고기 300g,2인분,초급,10분,2025-02-15,https://example.com/recipe_1000272.jpg,1000272,10,1,0.45589974281586065,4
273,맛있는 생선 요리 274,맛있는 생선 요리 274,user_11,요리사38,15243,4968,315,볶기,손님접대,"생선, 양파, 마늘",메인반찬,맛있는 생선 요리 274 레시피,생선 300g,3인분,고급,20분,2025-11-20,https://example.com/recipe_1000273.jpg,1000273,20,3,0.5136249068899642,1
274,맛있는 닭고기 요리 275,맛있는 닭고기 요리 275,user_37,요리사71,48781,3589,648,찌기,일상,"닭고기, 양파, 마늘",일품,맛있는 닭고기 요리 275 레시피,닭고기 300g,4인분,중급,30분,2025-07-15,https://example.com/recipe_1000274.jpg,1000274,30,2,0.8330456415397451,4
275,맛있는 소고기 요리 276,맛있는 소고기 요리 276,user_1,요리사7,27787,2038,767,찌기,일상,"소고기, 양파, 마늘",메인반찬,맛있는 소고기 요리 276 레시피,소고기 300g,2인분,중급,30분,2025-08-03,https://example.com/recipe_1000275.jpg,1000275,30,2,0.5537980614862507,1
276,맛있는 두부 요리 277,맛있는 두부 요리 277,user_53,요리사81,20702,2057,718,굽기,간편식,"두부, 양파, 마늘",볶음,맛있는 두부 요리 277 레시피,두부 300g,2인분,중급,30분,2025-03-25,https://example.com/recipe_1000276.jpg,1000276,30,2,0.47425415448339525,2
277,맛있는 소고기 요리 278,맛있는 소고기 요리 278,user_65,요리사20,47100,508,242,볶기,일상,"소고기, 양파, 마늘",볶음,맛있는 소고기 요리 278 레시피,소고기 300g,3인분,중급,60분,2025-08-25,https://example.com/recipe_1000277.jpg,1000277,60,2,0.5500886429145668,2
278,맛있는 돼지고기 요리 279,맛있는 돼지고기 요리 279,user_87,요리사21,44973,563,735,볶기,간편식,"돼지고기, 양파, 마늘",찌개,맛있는 돼지고기 요리 279 레시피,돼지고기 300g,2인분,중급,20분,2025-07-18,https://example.com/recipe_1000278.jpg,1000278,20,2,0.6308101073536173,5
279,맛있는 두부 요리 280,맛있는 두부 요리 280,user_7,요리사48,22181,3666,233,볶기,손님접대,"두부, 양파, 마늘",볶음,맛있는 두부 요리 280 레시피,두부 300g,3인분,초급,20분,2025-12-10,https://example.com/recipe_1000279.jpg,1000279,20,1,0.48849208769660357,2
280,맛있는 닭고기 요리 281,맛있는 닭고기 요리 281,user_8,요리사56,6646,254,537,찌기,간편식,"닭고기, 양파, 마늘",찌개,맛있는 닭고기 요리 281 레시피,닭고기 300g,4인분,초급,10분,2025-05-23,https://example.com/recipe_1000280.jpg,1000280,10,1,0.18923011159289654,5
281,맛있는 생선 요리 282,맛있는 생선 요리 282,user_74,요리사79,39508,2153,398,굽기,일상,"생선, 양파, 마늘",국/탕,맛있는 생선 요리 282 레시피,생선 300g,2인분,고급,10분,2025-05-03,https://example.com/recipe_1000281.jpg,1000281,10,3,0.6040740525664612,0
282,맛있는 두부 요리 283,맛있는 두부 요리 283,user_2,요리사50,8657,4862,219,찌기,손님접대,"두부, 양파, 마늘",샐러드,맛있는 두부 요리 283 레시피,두부 300g,4인분,중급,20분,2024-12-26,https://example.com/recipe_1000282.jpg,1000282,20,2,0.42216328765473954,3
283,맛있는 돼지고기 요리 284,맛있는 돼지고기 요리 284,user_70,요리사15,4228,1657,785,볶기,간편식,"돼지고기, 양파, 마늘",찌개,맛있는 돼지고기 요리 284 레시피,돼지고기 300g,3인분,고급,30분,2025-01-26,https://example.com/recipe_1000283.jpg,1000283,30,3,0.2988715372463875,5
284,맛있는 생선 요리 285,맛있는 생선 요리 285,user_11,요리사56,13571,333,361,볶기,일상,"생선, 양파, 마늘",일품,맛있는 생선 요리 285 레시피,생선 300g,4인분,중급,10분,2025-02-25,https://example.com/recipe_1000284.jpg,1000284,10,2,0.22800842936568405,4
285,맛있는 닭고기 요리 286,맛있는 닭고기 요리 286,user_23,요리사77,37125,89,850,찌기,손님접대,"닭고기, 양파, 마늘",볶음,맛있는 닭고기 요리 286 레시피,닭고기 300g,4인분,고급,30분,2025-08-29,https://example.com/recipe_1000285.jpg,1000285,30,3,0.5468864381012668,2
286,맛있는 소고기 요리 287,맛있는 소고기 요리 287,user_9,요리사80,38426,1615,438,볶기,손님접대,"소고기, 양파, 마늘",샐러드,맛있는 소고기 요리 287 레시피,소고기 300g,3인분,중급,10분,2025-06-18,https://example.com/recipe_1000286.jpg,1000286,10,2,0.5689783805232518,3
287,맛있는 두부 요리 288,맛있는 두부 요리 288,user_25,요리사9,15315,2603,577,볶기,간편식,"두부, 양파, 마늘",찌개,맛있는 두부 요리 288 레시피,두부 300g,2인분,고급,10분,2025-03-06,https://example.com/recipe_1000287.jpg,1000287,10,3,0.42489760422567696,5
288,맛있는 돼지고기 요리 289,맛있는 돼지고기 요리 289,user_4,요리사51,21743,2701,366,볶기,일상,"돼지고기, 양파, 마늘",샐러드,맛있는 돼지고기 요리 289 레시피,돼지고기 300g,2인분,고급,20분,2025-09-27,https://example.com/recipe_1000288.jpg,1000288,20,3,0.45283722461673004,3
289,맛있는 계란 요리 290,맛있는 계란 요리 290,user_22,요리사40,42608,4957,465,찌기,일상,"계란, 양파, 마늘",메인반찬,맛있는 계란 요리 290 레시피,계란 300g,4인분,고급,60분,2025-02-14,https://example.com/recipe_1000289.jpg,1000289,60,3,0.8167380095646934,1
290,맛있는 소고기 요리 291,맛있는 소고기 요리 291,user_90,요리사47,21342,4392,535,볶기,손님접대,"소고기, 양파, 마늘",일품,맛있는 소고기 요리 291 레시피,소고기 300g,2인분,고급,20분,2025-06-24,https://example.com/recipe_1000290.jpg,1000290,20,3,0.5841196945868502,4
291,맛있는 두부 요리 292,맛있는 두부 요리 292,user_74,요리사93,46045,2958,704,볶기,간편식,"두부, 양파, 마늘",볶음,맛있는 두부 요리 292 레시피,두부 300g,4인분,중급,20분,2025-10-16,https://example.com/recipe_1000291.jpg,1000291,20,2,0.7790275471870647,2
292,맛있는 돼지고기 요리 293,맛있는 돼지고기 요리 293,user_19,요리사22,36887,4313,458,볶기,손님접대,"돼지고기, 양파, 마늘",볶음,맛있는 돼지고기 요리 293 레시피,돼지고기 300g,2인분,고급,60분,2025-11-20,https://example.com/recipe_1000292.jpg,1000292,60,3,0.7194671501475667,2
293,맛있는 닭고기 요리 294,맛있는 닭고기 요리 294,user_73,요리사85,3717,4449,911,찌기,손님접대,"닭고기, 양파, 마늘",찌개,맛있는 닭고기 요리 294 레시피,닭고기 300g,2인분,초급,60분,2025-09-28,https://example.com/recipe_1000293.jpg,1000293,60,1,0.48650502448069577,5
294,맛있는 생선 요리 295,맛있는 생선 요리 295,user_21,요리사2,10899,465,384,볶기,손님접대,"생선, 양파, 마늘",샐러드,맛있는 생선 요리 295 레시피,생선 300g,4인분,고급,20분,2025-05-18,https://example.com/recipe_1000294.jpg,1000294,20,3,0.2138039460804061,3
295,맛있는 소고기 요리 296,맛있는 소고기 요리 296,user_37,요리사94,8924,4961,511,찌기,간편식,"소고기, 양파, 마늘",찌개,맛있는 소고기 요리 296 레시피,소고기 300g,2인분,초급,20분,2025-12-12,https://example.com/recipe_1000295.jpg,1000295,20,1,0.48923265422195494,5
296,맛있는 두부 요리 297,맛있는 두부 요리 297,user_36,요리사44,24193,3826,130,찌기,손님접대,"두부, 양파, 마늘",일품,맛있는 두부 요리 297 레시피,두부 300g,4인분,초급,30분,2025-01-11,https://example.com/recipe_1000296.jpg,1000296,30,1,0.49759831020264605,4
