RCP_SNO,RCP_TTL,CKG_NM,RGTR_ID,RGTR_NM,INQ_CNT,RCMM_CNT,SRAP_CNT,CKG_MTH_ACTO_NM,CKG_STA_ACTO_NM,CKG_MTRL_ACTO_NM,CKG_KND_ACTO_NM,CKG_IPDC,CKG_MTRL_CN,CKG_INBUN_NM,CKG_DODF_NM,CKG_TIME_NM,FIRST_REG_DT,RCP_IMG_URL
1000241,맛있는 소고기 요리 242,맛있는 소고기 요리 242,user_97,요리사70,31271,2908,117,찌기,손님접대,"소고기, 양파, 마늘",일품,맛있는 소고기 요리 242 레시피,소고기 300g,3인분,초급,60분,2024-12-27,https://example.com/recipe_1000241.jpg
1000242,맛있는 돼지고기 요리 243,맛있는 돼지고기 요리 243,user_13,요리사83,11026,4539,18,굽기,간편식,"돼지고기, 양파, 마늘",메인반찬,맛있는 돼지고기 요리 243 레시피,돼지고기 300g,2인분,중급,10분,2025-03-26,https://example.com/recipe_1000242.jpg
1000243,맛있는 돼지고기 요리 244,맛있는 돼지고기 요리 244,user_97,요리사48,6609,3726,145,볶기,간편식,"돼지고기, 양파, 마늘",국/탕,맛있는 돼지고기 요리 244 레시피,돼지고기 300g,2인분,초급,60분,2025-07-08,https://example.com/recipe_1000243.jpg
1000244,맛있는 닭고기 요리 245,맛있는 닭고기 요리 245,user_75,요리사37,22761,3404,366,볶기,일상,"닭고기, 양파, 마늘",찌개,맛있는 닭고기 요리 245 레시피,닭고기 300g,2인분,고급,10분,2025-07-02,https://example.com/recipe_1000244.jpg
1000245,맛있는 두부 요리 246,맛있는 두부 요리 246,user_53,요리사70,12054,245,493,찌기,간편식,"두부, 양파, 마늘",찌개,맛있는 두부 요리 246 레시피,두부 300g,4인분,중급,30분,2025-06-28,https://example.com/recipe_1000245.jpg
1000246,맛있는 닭고기 요리 247,맛있는 닭고기 요리 247,user_63,요리사39,13311,945,586,볶기,손님접대,"닭고기, 양파, 마늘",샐러드,맛있는 닭고기 요리 247 레시피,닭고기 300g,2인분,초급,20분,2025-12-06,https://example.com/recipe_1000246.jpg
1000247,맛있는 소고기 요리 248,맛있는 소고기 요리 248,user_54,요리사50,41607,415,986,볶기,손님접대,"소고기, 양파, 마늘",국/탕,맛있는 소고기 요리 248 레시피,소고기 300g,2인분,초급,20분,2025-09-13,https://example.com/recipe_1000247.jpg
1000248,맛있는 계란 요리 249,맛있는 계란 요리 249,user_14,요리사62,18991,1201,132,볶기,간편식,"계란, 양파, 마늘",찌개,맛있는 계란 요리 249 레시피,계란 300g,2인분,중급,60분,2025-01-10,https://example.com/recipe_1000248.jpg
1000249,맛있는 닭고기 요리 250,맛있는 닭고기 요리 250,user_5,요리사80,237,1452,617,볶기,손님접대,"닭고기, 양파, 마늘",국/탕,맛있는 닭고기 요리 250 레시피,닭고기 300g,4인분,초급,20분,2025-01-27,https://example.com/recipe_1000249.jpg
1000250,맛있는 돼지고기 요리 251,맛있는 돼지고기 요리 251,user_75,요리사22,28527,584,637,굽기,손님접대,"돼지고기, 양파, 마늘",국/탕,맛있는 돼지고기 요리 251 레시피,돼지고기 300g,3인분,중급,60분,2025-04-09,https://example.com/recipe_1000250.jpg
1000251,맛있는 계란 요리 252,맛있는 계란 요리 252,user_31,요리사1,38229,4432,920,볶기,간편식,"계란, 양파, 마늘",볶음,맛있는 계란 요리 252 레시피,계란 300g,4인분,중급,60분,2025-10-15,https://example.com/recipe_1000251.jpg
1000252,맛있는 계란 요리 253,맛있는 계란 요리 253,user_25,요리사54,14423,2082,431,볶기,간편식,"계란, 양파, 마늘",샐러드,맛있는 계란 요리 253 레시피,계란 300g,4인분,초급,60분,2025-02-10,https://example.com/recipe_1000252.jpg
1000253,맛있는 소고기 요리 254,맛있는 소고기 요리 254,user_22,요리사75,38553,447,290,굽기,일상,"소고기, 양파, 마늘",볶음,맛있는 소고기 요리 254 레시피,소고기 300g,4인분,고급,20분,2025-03-04,https://example.com/recipe_1000253.jpg
1000254,맛있는 두부 요리 255,맛있는 두부 요리 255,user_83,요리사72,21361,3624,208,찌기,간편식,"두부, 양파, 마늘",찌개,맛있는 두부 요리 255 레시피,두부 300g,4인분,초급,30분,2025-05-05,https://example.com/recipe_1000254.jpg
1000255,맛있는 계란 요리 256,맛있는 계란 요리 256,user_24,요리사55,21150,924,388,볶기,손님접대,"계란, 양파, 마늘",볶음,맛있는 계란 요리 256 레시피,계란 300g,4인분,중급,20분,2025-01-03,https://example.com/recipe_1000255.jpg
1000256,맛있는 계란 요리 257,맛있는 계란 요리 257,user_78,요리사44,44325,3854,406,볶기,간편식,"계란, 양파, 마늘",찌개,맛있는 계란 요리 257 레시피,계란 300g,2인분,초급,10분,2024-12-22,https://example.com/recipe_1000256.jpg
1000257,맛있는 돼지고기 요리 258,맛있는 돼지고기 요리 258,user_49,요리사29,25216,3958,293,볶기,일상,"돼지고기, 양파, 마늘",찌개,맛있는 돼지고기 요리 258 레시피,돼지고기 300g,2인분,초급,10분,2025-01-10,https://example.com/recipe_1000257.jpg
1000258,맛있는 소고기 요리 259,맛있는 소고기 요리 259,user_59,요리사88,13437,77,629,굽기,간편식,"소고기, 양파, 마늘",샐러드,맛있는 소고기 요리 259 레시피,소고기 300g,4인분,중급,30분,2025-07-18,https://example.com/recipe_1000258.jpg
1000259,맛있는 닭고기 요리 260,맛있는 닭고기 요리 260,user_31,요리사16,8183,3627,962,볶기,간편식,"닭고기, 양파, 마늘",샐러드,맛있는 닭고기 요리 260 레시피,닭고기 300g,2인분,초급,30분,2025-08-13,https://example.com/recipe_1000259.jpg
1000260,맛있는 생선 요리 261,맛있는 생선 요리 261,user_98,요리사26,751,899,231,찌기,간편식,"생선, 양파, 마늘",찌개,맛있는 생선 요리 261 레시피,생선 300g,2인분,고급,20분,2025-01-07,https://example.com/recipe_1000260.jpg
1000261,맛있는 두부 요리 262,맛있는 두부 요리 262,user_17,요리사87,14968,4182,805,찌기,간편식,"두부, 양파, 마늘",샐러드,맛있는 두부 요리 262 레시피,두부 300g,2인분,초급,30분,2025-10-28,https://example.com/recipe_1000261.jpg
1000262,맛있는 계란 요리 263,맛있는 계란 요리 263,user_95,요리사62,16790,3610,438,굽기,일상,"계란, 양파, 마늘",볶음,맛있는 계란 요리 263 레시피,계란 300g,4인분,고급,60분,2025-01-16,https://example.com/recipe_1000262.jpg
1000263,맛있는 생선 요리 264,맛있는 생선 요리 264,user_50,요리사4,6167,3760,39,볶기,간편식,"생선, 양파, 마늘",메인반찬,맛있는 생선 요리 264 레시피,생선 300g,4인분,중급,60분,2025-12-01,https://example.com/recipe_1000263.jpg
1000264,맛있는 돼지고기 요리 265,맛있는 돼지고기 요리 265,user_25,요리사34,16244,1970,451,찌기,일상,"돼지고기, 양파, 마늘",국/탕,맛있는 돼지고기 요리 265 레시피,돼지고기 300g,3인분,중급,20분,2025-03-09,https://example.com/recipe_1000264.jpg
1000265,맛있는 닭고기 요리 266,맛있는 닭고기 요리 266,user_85,요리사21,18178,2676,72,볶기,일상,"닭고기, 양파, 마늘",볶음,맛있는 닭고기 요리 266 레시피,닭고기 300g,3인분,초급,60분,2025-11-28,https://example.com/recipe_1000265.jpg
1000266,맛있는 생선 요리 267,맛있는 생선 요리 267,user_41,요리사21,32691,901,427,볶기,간편식,"생선, 양파, 마늘",볶음,맛있는 생선 요리 267 레시피,생선 300g,2인분,고급,30분,2025-12-20,https://example.com/recipe_1000266.jpg
1000267,맛있는 계란 요리 268,맛있는 계란 요리 268,user_35,요리사42,4675,2631,378,굽기,일상,"계란, 양파, 마늘",일품,맛있는 계란 요리 268 레시피,계란 300g,3인분,중급,20분,2025-02-04,https://example.com/recipe_1000267.jpg
1000268,맛있는 생선 요리 269,맛있는 생선 요리 269,user_21,요리사79,11946,1768,881,찌기,손님접대,"생선, 양파, 마늘",일품,맛있는 생선 요리 269 레시피,생선 300g,3인분,초급,20분,2025-08-15,https://example.com/recipe_1000268.jpg
1000269,맛있는 생선 요리 270,맛있는 생선 요리 270,user_84,요리사9,7314,415,763,굽기,손님접대,"생선, 양파, 마늘",샐러드,맛있는 생선 요리 270 레시피,생선 300g,4인분,초급,10분,2025-02-21,https://example.com/recipe_1000269.jpg
1000270,맛있는 생선 요리 271,맛있는 생선 요리 271,user_1,요리사32,20949,4534,178,찌기,손님접대,"생선, 양파, 마늘",볶음,맛있는 생선 요리 271 레시피,생선 300g,4인분,고급,10분,2025-02-22,https://example.com/recipe_1000270.jpg
1000271,맛있는 두부 요리 272,맛있는 두부 요리 272,user_7,요리사7,27463,4401,735,굽기,일상,"두부, 양파, 마늘",찌개,맛있는 두부 요리 272 레시피,두부 300g,3인분,중급,60분,2025-03-21,https://example.com/recipe_1000271.jpg
1000272,맛있는 돼지고기 요리 273,맛있는 돼지고기 요리 273,user_39,요리사54,34715,616,358,굽기,일상,"돼지고기, 양파, 마늘",일품,맛있는 돼지고기 요리 273 레시피,돼지고기 300g,2인분,초급,10분,2025-02-15,https://example.com/recipe_1000272.jpg
1000273,맛있는 생선 요리 274,맛있는 생선 요리 274,user_11,요리사38,15243,4968,315,볶기,손님접대,"생선, 양파, 마늘",메인반찬,맛있는 생선 요리 274 레시피,생선 300g,3인분,고급,20분,2025-11-20,https://example.com/recipe_1000273.jpg
1000274,맛있는 닭고기 요리 275,맛있는 닭고기 요리 275,user_37,요리사71,48781,3589,648,찌기,일상,"닭고기, 양파, 마늘",일품,맛있는 닭고기 요리 275 레시피,닭고기 300g,4인분,중급,30분,2025-07-15,https://example.com/recipe_1000274.jpg
1000275,맛있는 소고기 요리 276,맛있는 소고기 요리 276,user_1,요리사7,27787,2038,767,찌기,일상,"소고기, 양파, 마늘",메인반찬,맛있는 소고기 요리 276 레시피,소고기 300g,2인분,중급,30분,2025-08-03,https://example.com/recipe_1000275.jpg
1000276,맛있는 두부 요리 277,맛있는 두부 요리 277,user_53,요리사81,20702,2057,718,굽기,간편식,"두부, 양파, 마늘",볶음,맛있는 두부 요리 277 레시피,두부 300g,2인분,중급,30분,2025-03-25,https://example.com/recipe_1000276.jpg
1000277,맛있는 소고기 요리 278,맛있는 소고기 요리 278,user_65,요리사20,47100,508,242,볶기,일상,"소고기, 양파, 마늘",볶음,맛있는 소고기 요리 278 레시피,소고기 300g,3인분,중급,60분,2025-08-25,https://example.com/recipe_1000277.jpg
1000278,맛있는 돼지고기 요리 279,맛있는 돼지고기 요리 279,user_87,요리사21,44973,563,735,볶기,간편식,"돼지고기, 양파, 마늘",찌개,맛있는 돼지고기 요리 279 레시피,돼지고기 300g,2인분,중급,20분,2025-07-18,https://example.com/recipe_1000278.jpg
1000279,맛있는 두부 요리 280,맛있는 두부 요리 280,user_7,요리사48,22181,3666,233,볶기,손님접대,"두부, 양파, 마늘",볶음,맛있는 두부 요리 280 레시피,두부 300g,3인분,초급,20분,2025-12-10,https://example.com/recipe_1000279.jpg
1000280,맛있는 닭고기 요리 281,맛있는 닭고기 요리 281,user_8,요리사56,6646,254,537,찌기,간편식,"닭고기, 양파, 마늘",찌개,맛있는 닭고기 요리 281 레시피,닭고기 300g,4인분,초급,10분,2025-05-23,https://example.com/recipe_1000280.jpg
1000281,맛있는 생선 요리 282,맛있는 생선 요리 282,user_74,요리사79,39508,2153,398,굽기,일상,"생선, 양파, 마늘",국/탕,맛있는 생선 요리 282 레시피,생선 300g,2인분,고급,10분,2025-05-03,https://example.com/recipe_1000281.jpg
1000282,맛있는 두부 요리 283,맛있는 두부 요리 283,user_2,요리사50,8657,4862,219,찌기,손님접대,"두부, 양파, 마늘",샐러드,맛있는 두부 요리 283 레시피,두부 300g,4인분,중급,20분,2024-12-26,https://example.com/recipe_1000282.jpg
1000283,맛있는 돼지고기 요리 284,맛있는 돼지고기 요리 284,user_70,요리사15,4228,1657,785,볶기,간편식,"돼지고기, 양파, 마늘",찌개,맛있는 돼지고기 요리 284 레시피,돼지고기 300g,3인분,고급,30분,2025-01-26,https://example.com/recipe_1000283.jpg
1000284,맛있는 생선 요리 285,맛있는 생선 요리 285,user_11,요리사56,13571,333,361,볶기,일상,"생선, 양파, 마늘",일품,맛있는 생선 요리 285 레시피,생선 300g,4인분,중급,10분,2025-02-25,https://example.com/recipe_1000284.jpg
1000285,맛있는 닭고기 요리 286,맛있는 닭고기 요리 286,user_23,요리사77,37125,89,850,찌기,손님접대,"닭고기, 양파, 마늘",볶음,맛있는 닭고기 요리 286 레시피,닭고기 300g,4인분,고급,30분,2025-08-29,https://example.com/recipe_1000285.jpg
1000286,맛있는 소고기 요리 287,맛있는 소고기 요리 287,user_9,요리사80,38426,1615,438,볶기,손님접대,"소고기, 양파, 마늘",샐러드,맛있는 소고기 요리 287 레시피,소고기 300g,3인분,중급,10분,2025-06-18,https://example.com/recipe_1000286.jpg
1000287,맛있는 두부 요리 288,맛있는 두부 요리 288,user_25,요리사9,15315,2603,577,볶기,간편식,"두부, 양파, 마늘",찌개,맛있는 두부 요리 288 레시피,두부 300g,2인분,고급,10분,2025-03-06,https://example.com/recipe_1000287.jpg
1000288,맛있는 돼지고기 요리 289,맛있는 돼지고기 요리 289,user_4,요리사51,21743,2701,366,볶기,일상,"돼지고기, 양파, 마늘",샐러드,맛있는 돼지고기 요리 289 레시피,돼지고기 300g,2인분,고급,20분,2025-09-27,https://example.com/recipe_1000288.jpg
1000289,맛있는 계란 요리 290,맛있는 계란 요리 290,user_22,요리사40,42608,4957,465,찌기,일상,"계란, 양파, 마늘",메인반찬,맛있는 계란 요리 290 레시피,계란 300g,4인분,고급,60분,2025-02-14,https://example.com/recipe_1000289.jpg
1000290,맛있는 소고기 요리 291,맛있는 소고기 요리 291,user_90,요리사47,21342,4392,535,볶기,손님접대,"소고기, 양파, 마늘",일품,맛있는 소고기 요리 291 레시피,소고기 300g,2인분,고급,20분,2025-06-24,https://example.com/recipe_1000290.jpg
1000291,맛있는 두부 요리 292,맛있는 두부 요리 292,user_74,요리사93,46045,2958,704,볶기,간편식,"두부, 양파, 마늘",볶음,맛있는 두부 요리 292 레시피,두부 300g,4인분,중급,20분,2025-10-16,https://example.com/recipe_1000291.jpg
1000292,맛있는 돼지고기 요리 293,맛있는 돼지고기 요리 293,user_19,요리사22,36887,4313,458,볶기,손님접대,"돼지고기, 양파, 마늘",볶음,맛있는 돼지고기 요리 293 레시피,돼지고기 300g,2인분,고급,60분,2025-11-20,https://example.com/recipe_1000292.jpg
1000293,맛있는 닭고기 요리 294,맛있는 닭고기 요리 294,user_73,요리사85,3717,4449,911,찌기,손님접대,"닭고기, 양파, 마늘",찌개,맛있는 닭고기 요리 294 레시피,닭고기 300g,2인분,초급,60분,2025-09-28,https://example.com/recipe_1000293.jpg
1000294,맛있는 생선 요리 295,맛있는 생선 요리 295,user_21,요리사2,10899,465,384,볶기,손님접대,"생선, 양파, 마늘",샐러드,맛있는 생선 요리 295 레시피,생선 300g,4인분,고급,20분,2025-05-18,https://example.com/recipe_1000294.jpg
1000295,맛있는 소고기 요리 296,맛있는 소고기 요리 296,user_37,요리사94,8924,4961,511,찌기,간편식,"소고기, 양파, 마늘",찌개,맛있는 소고기 요리 296 레시피,소고기 300g,2인분,초급,20분,2025-12-12,https://example.com/recipe_1000295.jpg
1000296,맛있는 두부 요리 297,맛있는 두부 요리 297,user_36,요리사44,24193,3826,130,찌기,손님접대,"두부, 양파, 마늘",일품,맛있는 두부 요리 297 레시피,두부 300g,4인분,초급,30분,2025-01-11,https://example.com/recipe_1000296.jpg
1000297,맛있는 돼지고기 요리 298,맛있는 돼지고기 요리 298,user_43,요리사35,35733,1053,952,찌기,간편식,"돼지고기, 양파, 마늘",찌개,맛있는 돼지고기 요리 298 레시피,돼지고기 300g,2인분,초급,20분,2025-10-19,https://example.com/recipe_1000297.jpg
1000298,맛있는 두부 요리 299,맛있는 두부 요리 299,user_52,요리사24,42561,3313,241,볶기,간편식,"두부, 양파, 마늘",일품,맛있는 두부 요리 299 레시피,두부 300g,2인분,중급,60분,2025-09-28,https://example.com/recipe_1000298.jpg
1000299,맛있는 두부 요리 300,맛있는 두부 요리 300,user_2,요리사48,38128,322,991,찌기,손님접대,"두부, 양파, 마늘",샐러드,맛있는 두부 요리 300 레시피,두부 300g,2인분,고급,10분,2025-10-31,https://example.com/recipe_1000299.jpg
1000300,맛있는 계란 요리 301,맛있는 계란 요리 301,user_17,요리사38,23525,1771,327,굽기,일상,"계란, 양파, 마늘",샐러드,맛있는 계란 요리 301 레시피,계란 300g,2인분,초급,60분,2025-07-04,https://example.com/recipe_1000300.jpg
1000301,맛있는 소고기 요리 302,맛있는 소고기 요리 302,user_26,요리사3,7738,3234,524,찌기,일상,"소고기, 양파, 마늘",샐러드,맛있는 소고기 요리 302 레시피,소고기 300g,2인분,고급,60분,2025-12-12,https://example.com/recipe_1000301.jpg
1000302,맛있는 돼지고기 요리 303,맛있는 돼지고기 요리 303,user_16,요리사96,19028,866,897,굽기,일상,"돼지고기, 양파, 마늘",국/탕,맛있는 돼지고기 요리 303 레시피,돼지고기 300g,2인분,고급,30분,2025-12-06,https://example.com/recipe_1000302.jpg
1000303,맛있는 돼지고기 요리 304,맛있는 돼지고기 요리 304,user_64,요리사73,15030,1736,591,볶기,일상,"돼지고기, 양파, 마늘",찌개,맛있는 돼지고기 요리 304 레시피,돼지고기 300g,3인분,중급,10분,2025-06-18,https://example.com/recipe_1000303.jpg
1000304,맛있는 돼지고기 요리 305,맛있는 돼지고기 요리 305,user_35,요리사41,17958,1124,983,굽기,손님접대,"돼지고기, 양파, 마늘",샐러드,맛있는 돼지고기 요리 305 레시피,돼지고기 300g,2인분,고급,60분,2025-04-23,https://example.com/recipe_1000304.jpg
1000305,맛있는 생선 요리 306,맛있는 생선 요리 306,user_20,요리사70,48605,564,100,굽기,손님접대,"생선, 양파, 마늘",일품,맛있는 생선 요리 306 레시피,생선 300g,4인분,고급,20분,2025-01-03,https://example.com/recipe_1000305.jpg
1000306,맛있는 돼지고기 요리 307,맛있는 돼지고기 요리 307,user_74,요리사6,44222,2657,542,굽기,간편식,"돼지고기, 양파, 마늘",국/탕,맛있는 돼지고기 요리 307 레시피,돼지고기 300g,3인분,초급,60분,2025-04-20,https://example.com/recipe_1000306.jpg
1000307,맛있는 돼지고기 요리 308,맛있는 돼지고기 요리 308,user_46,요리사23,17214,1049,252,굽기,간편식,"돼지고기, 양파, 마늘",찌개,맛있는 돼지고기 요리 308 레시피,돼지고기 300g,2인분,초급,10분,2025-06-12,https://example.com/recipe_1000307.jpg
1000308,맛있는 닭고기 요리 309,맛있는 닭고기 요리 309,user_60,요리사62,30101,2427,167,볶기,손님접대,"닭고기, 양파, 마늘",샐러드,맛있는 닭고기 요리 309 레시피,닭고기 300g,3인분,초급,60분,2025-06-13,https://example.com/recipe_1000308.jpg
1000309,맛있는 생선 요리 310,맛있는 생선 요리 310,user_73,요리사10,35251,1079,968,볶기,일상,"생선, 양파, 마늘",국/탕,맛있는 생선 요리 310 레시피,생선 300g,3인분,초급,10분,2025-08-12,https://example.com/recipe_1000309.jpg
1000310,맛있는 두부 요리 311,맛있는 두부 요리 311,user_41,요리사86,42807,1498,305,볶기,일상,"두부, 양파, 마늘",찌개,맛있는 두부 요리 311 레시피,두부 300g,2인분,초급,30분,2025-06-02,https://example.com/recipe_1000310.jpg
1000311,맛있는 돼지고기 요리 312,맛있는 돼지고기 요리 312,user_96,요리사71,17808,2530,874,볶기,간편식,"돼지고기, 양파, 마늘",찌개,맛있는 돼지고기 요리 312 레시피,돼지고기 300g,3인분,중급,10분,2025-08-08,https://example.com/recipe_1000311.jpg
1000312,맛있는 생선 요리 313,맛있는 생선 요리 313,user_69,요리사68,3882,4853,89,찌기,일상,"생선, 양파, 마늘",국/탕,맛있는 생선 요리 313 레시피,생선 300g,4인분,초급,60분,2025-06-10,https://example.com/recipe_1000312.jpg
1000313,맛있는 돼지고기 요리 314,맛있는 돼지고기 요리 314,user_16,요리사70,26238,3890,453,굽기,손님접대,"돼지고기, 양파, 마늘",일품,맛있는 돼지고기 요리 314 레시피,돼지고기 300g,4인분,고급,20분,2025-09-17,https://example.com/recipe_1000313.jpg
1000314,맛있는 돼지고기 요리 315,맛있는 돼지고기 요리 315,user_15,요리사25,12873,3988,586,볶기,손님접대,"돼지고기, 양파, 마늘",볶음,맛있는 돼지고기 요리 315 레시피,돼지고기 300g,3인분,초급,10분,2025-03-28,https://example.com/recipe_1000314.jpg
1000315,맛있는 두부 요리 316,맛있는 두부 요리 316,user_70,요리사65,8368,1759,113,굽기,일상,"두부, 양파, 마늘",국/탕,맛있는 두부 요리 316 레시피,두부 300g,4인분,초급,20분,2025-05-08,https://example.com/recipe_1000315.jpg
1000316,맛있는 돼지고기 요리 317,맛있는 돼지고기 요리 317,user_78,요리사76,10280,4647,462,볶기,일상,"돼지고기, 양파, 마늘",국/탕,맛있는 돼지고기 요리 317 레시피,돼지고기 300g,2인분,중급,20분,2025-02-08,https://example.com/recipe_1000316.jpg
1000317,맛있는 소고기 요리 318,맛있는 소고기 요리 318,user_41,요리사5,16934,221,506,굽기,간편식,"소고기, 양파, 마늘",찌개,맛있는 소고기 요리 318 레시피,소고기 300g,4인분,고급,30분,2025-03-12,https://example.com/recipe_1000317.jpg
1000318,맛있는 소고기 요리 319,맛있는 소고기 요리 319,user_61,요리사9,18584,165,378,찌기,일상,"소고기, 양파, 마늘",일품,맛있는 소고기 요리 319 레시피,소고기 300g,2인분,중급,20분,2025-09-01,https://example.com/recipe_1000318.jpg
1000319,맛있는 소고기 요리 320,맛있는 소고기 요리 320,user_19,요리사84,16895,2502,235,굽기,손님접대,"소고기, 양파, 마늘",볶음,맛있는 소고기 요리 320 레시피,소고기 300g,3인분,고급,10분,2025-09-08,https://example.com/recipe_1000319.jpg
1000320,맛있는 생선 요리 321,맛있는 생선 요리 321,user_79,요리사16,45951,2387,530,볶기,손님접대,"생선, 양파, 마늘",국/탕,맛있는 생선 요리 321 레시피,생선 300g,4인분,중급,60분,2025-07-23,https://example.com/recipe_1000320.jpg
1000321,맛있는 소고기 요리 322,맛있는 소고기 요리 322,user_56,요리사92,6424,2127,957,굽기,일상,"소고기, 양파, 마늘",찌개,맛있는 소고기 요리 322 레시피,소고기 300g,2인분,중급,10분,2025-09-03,https://example.com/recipe_1000321.jpg
1000322,맛있는 돼지고기 요리 323,맛있는 돼지고기 요리 323,user_39,요리사94,37001,2355,307,찌기,일상,"돼지고기, 양파, 마늘",국/탕,맛있는 돼지고기 요리 323 레시피,돼지고기 300g,4인분,고급,10분,2025-08-11,https://example.com/recipe_1000322.jpg
1000323,맛있는 소고기 요리 324,맛있는 소고기 요리 324,user_92,요리사11,37595,1701,627,볶기,간편식,"소고기, 양파, 마늘",샐러드,맛있는 소고기 요리 324 레시피,소고기 300g,2인분,고급,10분,2025-06-03,https://example.com/recipe_1000323.jpg
1000324,맛있는 두부 요리 325,맛있는 두부 요리 325,user_20,요리사55,39104,1670,381,찌기,손님접대,"두부, 양파, 마늘",볶음,맛있는 두부 요리 325 레시피,두부 300g,2인분,고급,10분,2025-05-20,https://example.com/recipe_1000324.jpg
1000325,맛있는 돼지고기 요리 326,맛있는 돼지고기 요리 326,user_82,요리사87,17627,4036,520,굽기,손님접대,"돼지고기, 양파, 마늘",샐러드,맛있는 돼지고기 요리 326 레시피,돼지고기 300g,2인분,중급,60분,2025-06-14,https://example.com/recipe_1000325.jpg
1000326,맛있는 돼지고기 요리 327,맛있는 돼지고기 요리 327,user_49,요리사39,1778,272,63,찌기,손님접대,"돼지고기, 양파, 마늘",샐러드,맛있는 돼지고기 요리 327 레시피,돼지고기 300g,4인분,초급,30분,2025-05-02,https://example.com/recipe_1000326.jpg
1000327,맛있는 돼지고기 요리 328,맛있는 돼지고기 요리 328,user_18,요리사40,45918,4158,896,굽기,일상,"돼지고기, 양파, 마늘",메인반찬,맛있는 돼지고기 요리 328 레시피,돼지고기 300g,2인분,초급,60분,2025-01-24,https://example.com/recipe_1000327.jpg
1000328,맛있는 두부 요리 329,맛있는 두부 요리 329,user_4,요리사44,45601,4436,682,굽기,일상,"두부, 양파, 마늘",일품,맛있는 두부 요리 329 레시피,두부 300g,4인분,고급,60분,2025-02-05,https://example.com/recipe_1000328.jpg
1000329,맛있는 소고기 요리 330,맛있는 소고기 요리 330,user_75,요리사45,7167,2132,609,볶기,손님접대,"소고기, 양파, 마늘",샐러드,맛있는 소고기 요리 330 레시피,소고기 300g,2인분,초급,20분,2025-12-05,https://example.com/recipe_1000329.jpg
1000330,맛있는 닭고기 요리 331,맛있는 닭고기 요리 331,user_38,요리사57,1643,4426,817,굽기,일상,"닭고기, 양파, 마늘",국/탕,맛있는 닭고기 요리 331 레시피,닭고기 300g,2인분,초급,20분,2025-07-10,https://example.com/recipe_1000330.jpg
1000331,맛있는 생선 요리 332,맛있는 생선 요리 332,user_86,요리사78,30127,2041,788,찌기,간편식,"생선, 양파, 마늘",국/탕,맛있는 생선 요리 332 레시피,생선 300g,3인분,중급,10분,2025-02-27,https://example.com/recipe_1000331.jpg
1000332,맛있는 생선 요리 333,맛있는 생선 요리 333,user_94,요리사72,16829,1534,892,볶기,간편식,"생선, 양파, 마늘",샐러드,맛있는 생선 요리 333 레시피,생선 300g,4인분,초급,20분,2025-06-05,https://example.com/recipe_1000332.jpg
1000333,맛있는 닭고기 요리 334,맛있는 닭고기 요리 334,user_30,요리사63,27439,1281,923,볶기,간편식,"닭고기, 양파, 마늘",찌개,맛있는 닭고기 요리 334 레시피,닭고기 300g,2인분,중급,10분,2025-11-07,https://example.com/recipe_1000333.jpg
1000334,맛있는 닭고기 요리 335,맛있는 닭고기 요리 335,user_5,요리사18,43857,4563,603,볶기,일상,"닭고기, 양파, 마늘",샐러드,맛있는 닭고기 요리 335 레시피,닭고기 300g,3인분,중급,20분,2025-09-14,https://example.com/recipe_1000334.jpg
1000335,맛있는 닭고기 요리 336,맛있는 닭고기 요리 336,user_6,요리사77,45112,4169,683,볶기,간편식,"닭고기, 양파, 마늘",메인반찬,맛있는 닭고기 요리 336 레시피,닭고기 300g,2인분,고급,10분,2025-06-18,https://example.com/recipe_1000335.jpg
1000336,맛있는 소고기 요리 337,맛있는 소고기 요리 337,user_85,요리사59,2947,314,762,굽기,간편식,"소고기, 양파, 마늘",일품,맛있는 소고기 요리 337 레시피,소고기 300g,3인분,고급,30분,2025-02-01,https://example.com/recipe_1000336.jpg
1000337,맛있는 소고기 요리 338,맛있는 소고기 요리 338,user_1,요리사77,5944,4314,327,찌기,간편식,"소고기, 양파, 마늘",샐러드,맛있는 소고기 요리 338 레시피,소고기 300g,3인분,초급,60분,2025-03-05,https://example.com/recipe_1000337.jpg
1000338,맛있는 계란 요리 339,맛있는 계란 요리 339,user_38,요리사11,24244,4961,291,굽기,일상,"계란, 양파, 마늘",메인반찬,맛있는 계란 요리 339 레시피,계란 300g,3인분,초급,60분,2024-12-31,https://example.com/recipe_1000338.jpg
1000339,맛있는 소고기 요리 340,맛있는 소고기 요리 340,user_57,요리사59,6531,3217,428,굽기,일상,"소고기, 양파, 마늘",샐러드,맛있는 소고기 요리 340 레시피,소고기 300g,4인분,초급,20분,2025-11-22,https://example.com/recipe_1000339.jpg
1000340,맛있는 계란 요리 341,맛있는 계란 요리 341,user_49,요리사7,9498,186,503,볶기,일상,"계란, 양파, 마늘",메인반찬,맛있는 계란 요리 341 레시피,계란 300g,2인분,초급,10분,2024-12-30,https://example.com/recipe_1000340.jpg
1000341,맛있는 계란 요리 342,맛있는 계란 요리 342,user_6,요리사75,19735,2514,790,찌기,일상,"계란, 양파, 마늘",찌개,맛있는 계란 요리 342 레시피,계란 300g,2인분,고급,20분,2025-04-12,https://example.com/recipe_1000341.jpg
